"";"nummer";"lp";"date_bt_ini";"date_bt_out";"phase_total";"zustimmg";"leadingcom";"completed";"election";"potLoss_same90";"potGain_same90"
"85";117;8;"1977-11-08";"1978-01-20";73;1;3;1;0;0;0
"86";120;8;"1977-11-18";"1978-01-20";63;0;3;1;0;0;0
"87";121;8;"1977-09-30";"1978-01-27";119;0;9;1;0;0;0
"88";124;8;"1977-11-29";"1978-03-16";107;1;3;1;0;0;0
"89";125;8;"1977-12-05";"1978-02-23";80;0;1;1;0;0;0
"90";126;8;"1978-05-17";"1980-05-22";736;1;2;1;0;0;0
"91";127;8;"1977-12-27";"1978-05-11";135;0;3;1;0;0;0
"92";129;8;"1977-12-20";"1978-11-30";345;0;3;1;0;0;0
"93";135;8;"1978-04-11";"1978-10-05";177;1;7;0;0;0;0
"94";136;8;"1978-03-10";"1978-06-22";104;0;7;1;0;0;0
"95";137;8;"1977-11-28";"1977-12-15";17;0;14;1;0;0;0
"96";138;8;"1978-01-17";"1979-06-21";520;0;25;1;0;0;0
"97";139;8;"1977-12-19";"1978-03-16";87;0;3;1;0;0;0
"98";140;8;"1977-11-09";"1978-03-09";120;0;16;1;0;0;0
"99";142;8;"1978-03-09";"1978-06-01";84;1;14;1;0;0;0
"100";151;8;"1978-03-23";"1980-03-06";714;1;1;0;0;0;0
"101";152;8;"1978-03-15";"1978-06-14";91;1;25;1;0;0;0
"102";153;8;"1978-03-31";"1978-11-09";223;0;16;1;0;0;0
"103";154;8;"1978-03-01";"1979-02-16";352;0;2;1;0;0;0
"104";155;8;"1978-03-16";"1978-06-14";90;0;25;1;0;0;0
"105";156;8;"1978-09-04";"1978-12-07";94;0;14;1;0;0;0
"106";157;8;"1978-03-17";"1979-04-26";405;1;14;1;0;0;0
"107";158;8;"1978-03-17";"1979-04-26";405;0;14;1;0;0;0
"108";159;8;"1978-02-21";"1978-12-06";288;0;16;1;0;0;0
"109";160;8;"1978-02-20";"1978-06-08";108;1;3;1;0;0;0
"110";161;8;"1978-02-20";"1978-06-08";108;1;3;1;0;0;0
"111";162;8;"1978-02-20";"1978-04-20";59;1;3;1;0;0;0
"112";163;8;"1978-02-21";"1980-05-13";812;1;3;1;0;0;0
"113";164;8;"1978-04-03";"1978-11-16";227;1;9;1;0;0;0
"114";165;8;"1978-02-21";"1978-06-08";107;0;3;1;0;0;0
"115";166;8;"1978-04-17";"1979-06-20";429;1;9;1;0;0;0
"116";167;8;"1978-03-23";"1978-06-08";77;0;1;1;0;0;0
"117";173;8;"1978-06-02";"1979-03-15";286;1;9;1;0;0;0
"118";174;8;"1978-06-05";"1978-12-06";184;1;25;1;0;0;0
"119";175;8;"1978-03-21";"1978-06-14";85;0;3;1;0;0;0
"120";176;8;"1978-03-21";"1978-06-08";79;1;3;1;0;0;0
"121";177;8;"1978-04-21";"1978-06-22";62;1;3;1;0;0;0
"122";178;8;"1978-05-24";"1978-11-16";176;0;3;1;0;0;0
"123";179;8;"1978-03-21";"1978-06-08";79;1;3;1;0;0;0
"124";180;8;"1978-03-21";"1978-11-30";254;0;3;1;0;0;0
"125";181;8;"1978-04-14";"1978-06-08";55;0;9;1;0;0;0
"126";182;8;"1978-04-07";"1978-05-12";35;1;1;1;0;0;0
"127";183;8;"1978-07-18";"1979-02-15";212;0;3;1;0;0;0
"128";190;8;"1978-03-09";"1978-06-08";91;NA;2;0;0;0;0
"129";191;8;"1978-04-25";"1978-11-30";219;1;3;1;0;0;0
"130";192;8;"1978-04-25";"1978-11-30";219;1;3;1;0;0;0
"131";193;8;"1978-04-25";"1978-10-19";177;1;3;1;0;0;0
"132";194;8;"1978-04-25";"1978-11-09";198;0;3;1;0;0;0
"133";195;8;"1978-04-24";"1978-06-08";45;0;2;1;0;0;0
"134";196;8;"1978-04-24";"1978-06-08";45;0;2;1;0;0;0
"135";197;8;"1978-05-05";"1979-05-17";377;1;9;1;0;0;0
"136";199;8;"1978-06-12";"1979-05-10";332;0;3;1;0;0;0
"137";200;8;"1978-08-04";"1980-05-22";657;1;2;1;0;0;0
"138";205;8;"1978-06-13";"1978-12-13";183;0;3;1;0;0;0
"139";206;8;"1978-05-22";"1978-06-21";30;0;9;1;0;0;0
"140";207;8;"1978-08-23";"1979-04-26";246;1;1;1;0;0;0
"141";208;8;"1978-06-06";"1978-11-30";177;1;3;1;0;0;0
"142";211;8;"1978-08-01";"1979-11-08";464;1;16;1;0;0;0
"143";212;8;"1978-09-19";"1979-05-11";234;0;25;1;0;0;0
"144";213;8;"1978-07-07";"1979-02-08";216;1;3;1;0;0;0
"145";214;8;"1978-07-07";"1979-02-08";216;1;3;1;0;0;0
"146";215;8;"1978-09-07";"1979-05-31";266;0;16;1;0;0;0
"147";216;8;"1978-05-12";"1978-06-14";33;0;9;1;0;0;0
"148";219;8;"1978-08-29";"1980-03-20";569;1;2;0;0;0;0
"149";220;8;"1978-10-03";"1978-12-15";73;1;9;1;0;0;0
"150";221;8;"1978-09-27";"1980-02-28";519;1;25;1;0;0;0
"151";222;8;"1978-07-14";"1978-11-09";118;1;3;1;0;0;0
"152";223;8;"1978-09-05";"1980-06-12";646;0;16;0;0;0;0
