"";"nummer";"lp";"date_bt_ini";"date_bt_out";"phase_total";"zustimmg";"leadingcom";"completed";"election";"potLoss_same90";"potGain_same90"
"371";577;9;"1981-06-12";"1981-10-01";111;1;3;1;0;0;0
"372";578;9;"1981-06-12";"1981-11-12";153;1;2;1;0;0;0
"373";580;9;"1981-09-09";"1981-11-26";78;0;3;1;0;0;0
"374";581;9;"1981-08-12";"1981-10-01";50;0;3;1;0;0;0
"375";582;9;"1981-08-12";"1981-10-01";50;0;3;1;0;0;0
"376";583;9;"1981-07-03";"1981-10-09";98;1;3;1;0;0;0
"377";584;9;"1981-07-03";"1981-10-29";118;1;3;1;0;0;0
"378";585;9;"1981-09-04";"1982-06-23";292;1;2;1;0;0;0
"379";586;9;"1981-06-09";"1981-11-12";156;1;14;1;0;0;0
"380";593;9;"1981-07-16";"1981-10-23";99;0;7;1;0;0;0
"381";594;9;"1981-07-16";"1982-02-04";203;1;3;1;0;0;0
"382";595;9;"1981-07-15";"1981-11-26";134;0;14;1;0;0;0
"383";596;9;"1981-07-14";"1981-11-12";121;1;3;1;0;0;0
"384";597;9;"1981-08-17";"1982-04-29";255;NA;1;0;0;0;0
"385";598;9;"1981-08-17";"1982-05-27";283;1;1;0;0;0;0
"386";599;9;"1981-08-17";"1982-11-10";450;NA;1;0;0;0;0
"387";600;9;"1981-09-07";"1982-05-27";262;0;16;0;0;0;0
"388";601;9;"1981-06-02";"1981-10-23";143;NA;2;0;0;0;0
"389";602;9;"1981-06-11";"1982-12-16";553;1;16;1;0;0;0
"390";610;9;"1981-10-13";"1981-11-27";45;0;3;1;0;0;0
"391";611;9;"1981-10-13";"1981-11-12";30;1;3;1;0;0;0
"392";612;9;"1981-10-13";"1981-12-10";58;1;3;1;0;0;0
"393";613;9;"1981-09-21";"1981-11-12";52;0;9;1;0;0;0
"394";614;9;"1981-10-13";"1981-11-12";30;1;3;1;0;0;0
"395";615;9;"1981-10-13";"1981-12-10";58;1;3;1;0;0;0
"396";616;9;"1981-10-15";"1981-11-26";42;1;3;1;0;0;0
"397";617;9;"1981-09-21";"1981-11-26";66;0;1;1;0;0;0
"398";618;9;"1981-11-23";"1982-09-17";298;0;16;1;0;0;0
"399";619;9;"1981-09-28";"1981-11-12";45;1;9;1;0;0;0
"400";620;9;"1981-09-28";"1981-11-12";45;NA;9;0;0;0;0
"401";621;9;"1981-09-28";"1981-11-12";45;0;9;1;0;0;0
"402";622;9;"1981-09-28";"1981-11-12";45;0;2;1;0;0;0
"403";623;9;"1981-09-28";"1981-10-23";25;1;2;1;0;0;0
"404";624;9;"1981-09-28";"1981-11-12";45;1;2;1;0;0;0
"405";625;9;"1981-09-28";"1981-11-12";45;0;2;1;0;0;0
"406";626;9;"1981-09-09";"1981-11-12";64;NA;9;0;0;0;0
"407";627;9;"1981-09-09";"1981-11-12";64;NA;9;0;0;0;0
"408";628;9;"1981-09-09";"1981-11-12";64;NA;9;0;0;0;0
"409";629;9;"1981-09-09";"1981-11-12";64;NA;2;0;0;0;0
"410";630;9;"1981-09-09";"1981-11-12";64;NA;2;0;0;0;0
"411";631;9;"1981-09-09";"1981-11-12";64;NA;2;0;0;0;0
"412";632;9;"1981-09-09";"1981-10-23";44;NA;2;0;0;0;0
"413";633;9;"1981-11-09";"1982-01-14";66;1;3;1;0;0;0
"414";635;9;"1981-11-12";"1982-03-04";112;0;3;1;0;0;0
"415";636;9;"1981-10-07";"1982-05-14";219;1;16;1;0;0;0
"416";638;9;"1982-03-24";"1982-12-09";260;1;9;1;0;0;0
"417";639;9;"1981-12-02";"1982-02-04";64;0;3;1;0;0;0
"418";640;9;"1982-08-05";"1982-12-15";132;0;3;1;0;0;0
"419";645;9;"1981-12-21";"1982-05-13";143;1;3;1;0;0;0
"420";652;9;"1982-02-17";"1982-05-13";85;1;3;1;0;0;0
"421";653;9;"1982-02-17";"1982-05-13";85;1;3;1;0;0;0
"422";655;9;"1982-02-12";"1982-06-25";133;1;3;1;0;0;0
"423";656;9;"1982-02-15";"1982-03-11";24;0;3;1;0;0;0
"424";657;9;"1982-03-04";"1982-04-30";57;0;3;1;0;0;0
"425";658;9;"1982-02-19";"1982-05-13";83;1;3;1;0;0;0
"426";660;9;"1982-04-27";"1982-12-09";226;1;2;1;0;0;0
"427";661;9;"1982-02-15";"1982-03-11";24;0;3;1;0;0;0
"428";663;9;"1982-03-09";"1982-06-09";92;1;3;1;0;0;0
"429";664;9;"1982-04-19";"1982-06-24";66;0;25;1;0;0;0
"430";669;9;"1982-03-29";"1982-06-25";88;0;9;1;0;0;0
"431";670;9;"1982-03-30";"1982-12-03";248;NA;14;0;0;0;0
"432";671;9;"1982-03-23";"1982-03-26";3;1;9;1;0;0;0
"433";672;9;"1982-03-02";"1982-03-26";24;NA;9;0;0;0;0
"434";678;9;"1982-06-28";"1982-12-15";170;1;14;1;0;0;0
"435";679;9;"1982-08-06";"1982-12-10";126;0;3;1;0;0;0
"436";680;9;"1982-05-07";"1982-09-09";125;0;3;1;0;0;0
"437";681;9;"1982-06-02";"1982-12-03";184;0;3;1;0;0;0
"438";683;9;"1982-04-30";"1982-06-25";56;1;3;1;0;0;0
"439";689;9;"1982-08-11";"1982-12-03";114;1;1;1;0;0;0
"440";690;9;"1982-08-06";"1982-12-09";125;0;1;1;0;0;0
"441";691;9;"1982-09-10";"1982-12-15";96;0;14;1;0;0;0
"442";692;9;"1982-08-11";"1982-12-03";114;0;1;1;0;0;0
"443";693;9;"1982-07-06";"1982-12-09";156;0;2;1;0;0;0
"444";694;9;"1982-06-09";"1982-12-16";190;NA;2;0;0;0;0
"445";695;9;"1982-06-03";"1982-09-17";106;1;3;1;0;0;0
"446";696;9;"1982-06-03";"1982-11-12";162;0;3;1;0;0;0
"447";697;9;"1982-05-28";"1982-09-30";125;1;3;1;0;0;0
"448";698;9;"1982-05-28";"1982-09-30";125;1;3;1;0;0;0
"449";703;9;"1982-05-13";"1982-05-27";14;1;9;0;0;0;0
"450";705;9;"1982-09-16";"1982-12-10";85;1;2;1;0;0;0
"451";706;9;"1982-09-06";"1982-12-10";95;0;3;1;0;0;0
"452";707;9;"1982-09-06";"1982-12-10";95;0;3;1;0;0;0
"453";709;9;"1982-05-26";"1982-10-28";155;1;9;1;0;0;0
"454";720;9;"1982-06-18";"1982-09-15";89;0;9;1;0;0;0
"455";721;9;"1982-08-12";"1982-12-03";113;1;14;1;0;0;0
"456";729;9;"1982-10-18";"1982-12-09";52;0;2;1;0;0;0
"457";730;9;"1982-10-13";"1982-12-03";51;1;3;1;0;0;0
"458";731;9;"1982-10-13";"1982-12-03";51;1;3;1;0;0;0
"459";734;9;"1982-11-25";"1982-12-15";20;0;7;1;0;0;0
"460";735;9;"1982-09-20";"1982-12-16";87;NA;9;0;0;0;0
"461";736;9;"1982-09-20";"1982-12-16";87;NA;2;0;0;0;0
"462";737;9;"1982-10-14";"1982-12-10";57;0;9;1;0;0;0
"463";738;9;"1982-11-11";"1982-12-15";34;0;25;1;0;0;0
"464";739;9;"1982-08-27";"1982-12-16";111;0;9;1;0;0;0
"465";740;9;"1982-09-23";"1982-12-16";84;NA;2;0;0;0;0
"466";742;9;"1982-09-07";"1982-12-16";100;NA;9;0;0;0;0
"467";743;9;"1982-09-07";"1982-12-16";100;NA;2;0;0;0;0
"468";744;9;"1982-09-07";"1982-12-16";100;NA;2;0;0;0;0
"469";745;9;"1982-09-15";"1982-12-16";92;NA;16;0;0;0;0
"470";754;9;"1982-10-12";"1982-12-03";52;0;14;1;0;0;0
"471";764;9;"1982-11-04";"1982-12-16";42;NA;9;0;0;0;0
"472";765;9;"1982-11-05";"1982-12-15";40;0;9;1;0;0;0
"473";766;9;"1982-11-05";"1982-12-10";35;1;16;1;0;0;0
"474";768;9;"1982-11-30";"1982-12-16";16;1;9;1;0;0;0
"475";777;9;"1982-11-23";"1982-12-03";10;0;14;1;0;0;0
"476";778;9;"1982-11-24";"1982-12-16";22;1;2;1;0;0;0
"477";781;9;"1982-12-01";"1982-12-15";14;1;1;1;0;0;0
"478";802;10;"1983-04-29";"1983-06-16";48;1;3;1;0;0;0
"479";803;10;"1983-04-29";"1983-06-24";56;0;3;1;0;0;0
"480";805;10;"1983-05-13";"1983-09-29";139;0;3;1;0;0;0
"481";806;10;"1983-08-26";"1984-06-07";286;1;16;1;0;0;0
"482";807;10;"1983-08-26";"1986-02-27";916;1;16;1;0;0;0
"483";808;10;"1983-05-13";"1984-04-12";335;1;3;1;0;0;0
"484";809;10;"1983-10-21";"1985-09-27";707;1;16;1;0;0;0
"485";810;10;"1983-10-21";"1985-09-27";707;1;7;1;0;0;0
"486";811;10;"1983-05-13";"1983-06-24";42;1;3;1;0;0;0
"487";812;10;"1983-12-22";"1985-05-23";518;0;16;1;0;0;0
"488";813;10;"1983-05-13";"1984-01-19";251;0;16;1;0;0;0
"489";814;10;"1983-05-13";"1983-10-27";167;0;3;1;0;0;0
"490";815;10;"1984-04-11";"1985-04-25";379;0;16;1;0;0;0
"491";816;10;"1983-05-13";"1984-04-12";335;1;3;1;0;0;0
"492";817;10;"1983-05-13";"1984-01-19";251;0;3;1;0;0;0
"493";818;10;"1983-07-05";"1984-01-19";198;0;16;1;0;0;0
"494";819;10;"1983-05-13";"1983-09-15";125;1;3;1;0;0;0
"495";820;10;"1983-06-21";"1983-12-01";163;1;3;1;0;0;0
"496";840;10;"1983-10-20";"1986-06-19";973;1;16;1;0;0;0
"497";841;10;"1983-07-11";"1986-06-19";1074;0;16;1;0;0;0
"498";842;10;"1983-10-20";"1986-06-19";973;0;3;1;0;0;0
"499";843;10;"1983-07-18";"1986-06-19";1067;0;3;1;0;0;0
"500";844;10;"1983-07-15";"1983-12-06";144;1;3;1;0;0;0
"501";849;10;"1983-07-21";"1984-02-23";217;0;3;1;0;0;0
"502";850;10;"1983-08-26";"1985-12-05";832;1;16;1;0;0;0
"503";858;10;"1983-06-21";"1983-12-01";163;1;14;1;0;0;0
"504";868;10;"1983-11-30";"1985-06-13";561;1;7;1;0;0;0
"505";870;10;"1983-09-02";"1983-12-09";98;1;9;1;0;0;0
"506";871;10;"1983-09-06";"1983-11-10";65;1;2;1;0;0;0
"507";872;10;"1983-09-02";"1983-12-09";98;1;2;1;0;0;0
"508";873;10;"1983-09-02";"1983-12-09";98;1;9;1;0;0;0
"509";874;10;"1984-01-19";"1985-06-28";526;0;16;1;0;0;0
"510";875;10;"1984-01-19";"1985-10-17";637;1;16;1;0;0;0
"511";882;10;"1983-10-10";"1983-12-06";57;1;3;1;0;0;0
"512";883;10;"1983-10-10";"1984-02-23";136;0;3;1;0;0;0
"513";884;10;"1983-12-07";"1984-04-12";127;1;3;1;0;0;0
"514";885;10;"1983-12-07";"1984-04-12";127;1;3;1;0;0;0
"515";886;10;"1983-08-26";"1983-12-09";105;0;9;1;0;0;0
"516";887;10;"1984-04-04";"1985-12-12";617;1;14;1;0;0;0
"517";888;10;"1983-11-22";"1984-06-27";218;1;7;1;0;0;0
"518";889;10;"1984-04-10";"1986-02-27";688;1;7;1;0;0;0
"519";890;10;"1983-10-10";"1983-11-25";46;0;25;1;0;0;0
"520";891;10;"1983-10-14";"1986-02-21";861;0;3;1;0;0;0
"521";892;10;"1983-09-13";"1983-11-10";58;1;7;1;0;0;0
"522";894;10;"1984-02-02";"1985-02-28";392;0;3;1;0;0;0
"523";895;10;"1984-02-08";"1984-12-06";302;0;3;1;0;0;0
"524";896;10;"1983-12-15";"1984-05-03";140;0;3;1;0;0;0
"525";897;10;"1983-10-31";"1983-12-06";36;1;9;1;0;0;0
"526";898;10;"1983-11-07";"1984-01-19";73;1;3;1;0;0;0
"527";899;10;"1983-12-29";"1984-10-25";301;1;14;1;0;0;0
"528";900;10;"1983-10-31";"1984-02-09";101;1;3;1;0;0;0
"529";901;10;"1984-01-16";"1984-11-15";304;1;14;1;0;0;0
"530";902;10;"1984-02-21";"1984-05-03";72;1;7;1;0;0;0
"531";903;10;"1983-11-07";"1984-02-09";94;0;1;1;0;0;0
"532";904;10;"1983-12-15";"1985-10-17";672;0;7;1;0;0;0
"533";911;10;"1984-03-15";"1984-06-27";104;1;25;1;0;0;0
"534";912;10;"1984-01-25";"1984-12-06";316;1;25;1;0;0;0
"535";913;10;"1984-01-24";"1984-06-06";134;0;25;1;0;0;0
"536";914;10;"1983-12-05";"1984-03-15";101;0;3;1;0;0;0
"537";915;10;"1984-02-24";"1985-03-28";398;1;2;1;0;0;0
"538";916;10;"1984-02-24";"1985-03-28";398;1;2;1;0;0;0
"539";921;10;"1983-10-27";"1984-09-21";330;0;1;1;0;0;0
"540";923;10;"1983-12-21";"1984-03-29";99;1;3;1;0;0;0
"541";924;10;"1983-12-19";"1984-05-03";136;1;2;1;0;0;0
"542";933;10;"1983-06-21";"1983-12-01";163;1;14;1;0;0;0
"543";936;10;"1983-12-01";"1984-12-06";371;1;2;1;0;0;0
"544";942;10;"1984-03-12";"1984-06-07";87;1;16;1;0;0;0
"545";943;10;"1984-04-13";"1986-12-04";965;1;16;1;0;0;0
"546";944;10;"1984-02-07";"1984-04-13";66;1;4;1;0;0;0
"547";945;10;"1984-02-10";"1985-01-24";349;1;3;1;0;0;0
"548";946;10;"1984-02-13";"1985-06-20";493;0;3;1;0;0;0
"549";947;10;"1984-02-10";"1984-06-27";138;0;1;1;0;0;0
"550";948;10;"1984-06-01";"1985-03-14";286;1;3;1;0;0;0
"551";949;10;"1984-01-14";"1984-03-29";75;1;2;1;0;0;0
"552";950;10;"1984-03-20";"1984-05-03";44;0;2;1;0;0;0
"553";952;10;"1984-03-01";"1984-06-27";118;1;3;1;0;0;0
"554";953;10;"1984-03-01";"1984-05-24";84;1;3;1;0;0;0
"555";954;10;"1984-02-27";"1984-05-24";87;1;3;1;0;0;0
"556";955;10;"1984-02-07";"1984-03-29";51;1;2;1;0;0;0
"557";956;10;"1984-03-22";"1984-06-28";98;1;2;1;0;0;0
"558";959;10;"1984-01-19";"1984-03-29";70;NA;2;0;0;0;0
"559";963;10;"1984-03-22";"1984-05-24";63;1;3;1;0;0;0
"560";964;10;"1984-04-26";"1984-06-29";64;1;2;1;0;0;0
"561";976;10;"1984-05-14";"1984-12-06";206;0;9;1;0;0;0
"562";977;10;"1984-08-30";"1985-05-14";257;1;3;1;0;0;0
"563";978;10;"1984-06-19";"1985-03-14";268;1;7;1;0;0;0
"564";979;10;"1984-07-25";"1984-12-13";141;1;25;1;0;0;0
"565";980;10;"1984-05-29";"1984-10-04";128;0;25;1;0;0;0
"566";981;10;"1984-08-29";"1985-09-12";379;1;2;1;0;0;0
"567";983;10;"1984-04-27";"1984-06-28";62;0;2;1;0;0;0
"568";988;10;"1984-04-13";"1984-06-27";75;1;9;1;0;0;0
"569";989;10;"1984-04-06";"1984-06-07";62;1;14;1;0;0;0
"570";995;10;"1984-06-19";"1984-11-15";149;1;9;1;0;0;0
"571";996;10;"1984-05-24";"1984-11-08";168;1;3;1;0;0;0
"572";997;10;"1984-05-24";"1984-11-08";168;1;3;1;0;0;0
"573";998;10;"1984-05-23";"1984-11-15";176;1;3;1;0;0;0
"574";999;10;"1984-07-13";"1985-05-14";305;1;16;1;0;0;0
"575";1002;10;"1984-04-13";"1984-12-06";237;1;14;1;0;0;0
"576";1005;10;"1984-06-15";"1984-11-08";146;1;3;1;0;0;0
"577";1006;10;"1984-06-15";"1984-11-08";146;1;3;1;0;0;0
"578";1007;10;"1984-06-15";"1984-11-08";146;1;3;1;0;0;0
"579";1008;10;"1984-06-15";"1985-01-17";216;0;3;1;0;0;0
"580";1009;10;"1984-06-15";"1985-01-17";216;0;16;1;0;0;0
"581";1010;10;"1984-05-23";"1984-06-27";35;1;9;1;0;0;0
"582";1011;10;"1984-05-02";"1984-06-27";56;NA;9;0;0;0;0
"583";1012;10;"1984-05-08";"1984-05-24";16;NA;9;0;0;0;0
"584";1016;10;"1984-07-13";"1984-11-08";118;1;3;1;0;0;0
"585";1017;10;"1984-07-13";"1984-11-08";118;1;3;1;0;0;0
"586";1018;10;"1984-08-27";"1985-06-13";290;1;16;1;0;0;0
"587";1019;10;"1984-10-15";"1985-06-13";241;1;14;1;0;0;0
"588";1020;10;"1984-07-13";"1984-11-08";118;0;16;1;0;0;0
"589";1022;10;"1984-05-22";"1984-06-08";17;0;7;1;0;0;0
"590";1023;10;"1984-05-22";"1984-06-28";37;0;14;1;0;0;0
"591";1024;10;"1984-05-23";"1985-02-07";260;0;14;1;0;0;0
"592";1027;10;"1984-07-19";"1984-10-25";98;1;25;1;0;0;0
"593";1028;10;"1984-09-13";"1984-12-13";91;1;2;1;0;0;0
"594";1029;10;"1984-12-17";"1986-02-27";437;1;16;1;0;0;0
"595";1046;10;"1984-08-24";"1984-11-30";98;0;9;1;0;0;0
"596";1047;10;"1984-10-15";"1984-12-06";52;1;3;1;0;0;0
"597";1048;10;"1984-10-15";"1985-01-17";94;0;3;1;0;0;0
"598";1049;10;"1984-10-15";"1984-12-07";53;0;3;1;0;0;0
"599";1050;10;"1985-01-14";"1985-12-05";325;0;16;1;0;0;0
"600";1051;10;"1984-10-11";"1985-04-19";190;1;2;1;0;0;0
"601";1052;10;"1984-12-10";"1985-02-07";59;1;1;1;0;0;0
"602";1053;10;"1984-10-10";"1984-12-06";57;0;2;1;0;0;0
"603";1054;10;"1984-11-08";"1985-04-19";162;0;4;1;0;0;0
"604";1055;10;"1985-02-14";"1985-09-12";210;0;14;1;0;0;0
"605";1056;10;"1984-10-31";"1984-11-29";29;1;9;1;0;0;0
"606";1057;10;"1984-10-15";"1985-01-17";94;1;3;1;0;0;0
"607";1058;10;"1984-10-15";"1984-12-06";52;1;3;1;0;0;0
"608";1059;10;"1984-10-11";"1984-11-28";48;1;2;1;0;0;0
"609";1060;10;"1984-10-10";"1984-12-07";58;1;2;1;0;0;0
"610";1061;10;"1984-10-17";"1984-12-13";57;0;16;1;0;0;0
"611";1066;10;"1984-12-12";"1985-12-05";358;1;14;1;0;0;0
"612";1067;10;"1984-10-31";"1985-03-14";134;1;14;1;0;0;0
"613";1068;10;"1984-10-29";"1984-12-06";38;1;2;1;0;0;0
"614";1069;10;"1985-04-03";"1986-06-20";443;1;2;1;0;0;0
"615";1070;10;"1984-10-31";"1985-01-24";85;0;3;1;0;0;0
"616";1071;10;"1984-10-31";"1984-12-06";36;1;9;1;0;0;0
"617";1072;10;"1985-01-09";"1985-05-23";134;1;2;1;0;0;0
"618";1073;10;"1984-09-19";"1984-10-25";36;1;14;1;0;0;0
"619";1077;10;"1984-10-31";"1984-11-15";15;0;3;1;0;0;0
"620";1078;10;"1985-02-21";"1986-06-18";482;1;21;1;0;0;0
"621";1079;10;"1984-10-05";"1984-11-15";41;0;9;1;0;0;0
"622";1080;10;"1985-02-22";"1985-06-20";118;1;1;1;0;0;0
"623";1084;10;"1984-10-23";"1984-12-06";44;0;2;1;0;0;0
"624";1085;10;"1984-10-23";"1986-02-28";493;1;14;1;0;0;0
"625";1087;10;"1984-10-25";"1985-03-14";140;NA;14;0;0;0;0
"626";1088;10;"1985-04-10";"1985-10-03";176;0;7;1;0;0;0
"627";1089;10;"1984-12-28";"1985-06-21";175;1;2;1;0;0;0
"628";1090;10;"1985-02-21";"1985-12-12";294;1;16;1;0;0;0
"629";1096;10;"1984-11-28";"1985-04-19";142;1;9;1;0;0;0
"630";1097;10;"1985-01-09";"1985-04-26";107;1;2;1;0;0;0
"631";1098;10;"1985-04-10";"1986-04-17";372;1;7;1;0;0;0
"632";1099;10;"1985-01-09";"1985-04-18";99;0;25;1;0;0;0
"633";1100;10;"1984-12-21";"1985-04-25";125;1;3;1;0;0;0
"634";1101;10;"1985-01-02";"1985-12-12";344;1;3;1;0;0;0
"635";1102;10;"1984-12-21";"1985-12-12";356;1;3;1;0;0;0
"636";1103;10;"1985-01-29";"1985-09-26";240;1;14;1;0;0;0
"637";1105;10;"1984-12-07";"1985-01-24";48;1;14;1;0;0;0
"638";1112;10;"1984-12-05";"1985-01-24";50;0;2;1;0;0;0
"639";1115;10;"1984-12-10";"1985-05-14";155;NA;14;0;0;0;0
"640";1124;10;"1985-02-21";"1985-06-13";112;0;3;1;0;0;0
"641";1125;10;"1985-02-21";"1985-04-26";64;0;2;1;0;0;0
"642";1126;10;"1985-03-06";"1985-05-14";69;1;14;1;0;0;0
"643";1127;10;"1985-05-09";"1985-10-17";161;0;1;1;0;0;0
"644";1128;10;"1985-02-21";"1985-09-26";217;1;4;1;0;0;0
"645";1129;10;"1985-02-28";"1985-11-07";252;0;16;1;0;0;0
"646";1130;10;"1985-02-21";"1985-05-24";92;1;2;1;0;0;0
"647";1131;10;"1985-02-21";"1985-05-24";92;1;9;1;0;0;0
"648";1132;10;"1985-02-11";"1985-04-25";73;0;3;1;0;0;0
"649";1136;10;"1985-01-16";"1985-05-14";118;1;4;1;0;0;0
"650";1138;10;"1985-05-03";"1985-12-05";216;1;14;1;0;0;0
"651";1139;10;"1985-07-19";"1986-02-21";217;0;1;1;0;0;0
"652";1140;10;"1985-07-19";"1986-11-13";482;1;16;1;0;0;0
"653";1141;10;"1985-04-30";"1985-12-05";219;1;2;1;0;0;0
"654";1150;10;"1985-05-07";"1986-02-28";297;1;14;1;0;0;0
"655";1154;10;"1985-02-21";"1985-04-19";57;0;2;1;0;0;0
"656";1159;10;"1985-04-11";"1985-06-20";70;1;1;1;0;0;0
"657";1160;10;"1984-11-28";"1985-03-14";106;0;9;1;0;0;0
"658";1161;10;"1985-03-06";"1985-06-13";99;NA;14;0;0;0;0
"659";1166;10;"1985-05-02";"1985-09-12";133;1;3;1;0;0;0
"660";1167;10;"1985-05-02";"1985-09-12";133;1;3;1;0;0;0
"661";1169;10;"1985-05-10";"1985-06-26";47;0;9;1;0;0;0
"662";1172;10;"1985-06-03";"1985-12-05";185;NA;16;0;0;0;0
"663";1174;10;"1985-07-19";"1985-12-12";146;NA;9;0;0;0;0
"664";1175;10;"1985-07-08";"1986-03-21";256;1;9;1;0;0;0
"665";1176;10;"1985-12-12";"1986-10-23";315;1;9;1;0;0;0
"666";1177;10;"1985-05-31";"1986-12-10";558;1;3;1;0;0;0
"667";1178;10;"1985-04-17";"1985-06-26";70;NA;9;0;0;0;0
"668";1179;10;"1985-06-14";"1985-11-15";154;1;2;1;0;0;0
"669";1181;10;"1985-04-18";"1985-06-20";63;1;2;1;0;0;0
"670";1184;10;"1985-10-07";"1986-06-27";263;1;14;1;0;0;0
"671";1185;10;"1985-09-20";"1986-06-05";258;0;16;1;0;0;0
"672";1186;10;"1985-09-20";"1986-06-05";258;0;16;1;0;0;0
"673";1187;10;"1985-09-26";"1986-06-26";273;0;16;1;0;0;0
"674";1188;10;"1985-06-24";"1986-06-05";346;0;3;1;0;0;0
"675";1189;10;"1986-09-18";"1986-10-23";35;1;3;1;0;0;0
"676";1195;10;"1986-02-20";"1986-11-07";260;1;21;1;0;0;0
"677";1196;10;"1985-08-28";"1985-12-12";106;1;2;1;0;0;0
"678";1197;10;"1985-07-15";"1985-11-14";122;1;9;1;0;0;0
"679";1198;10;"1985-11-22";"1986-10-23";335;1;9;1;0;0;0
"680";1200;10;"1985-07-12";"1986-09-25";440;0;3;1;0;0;0
"681";1201;10;"1985-09-05";"1985-11-14";70;1;14;1;0;0;0
"682";1203;10;"1985-06-11";"1985-06-20";9;0;7;1;0;0;0
"683";1206;10;"1985-06-21";"1986-12-10";537;0;14;1;0;0;0
"684";1209;10;"1985-06-25";"1986-02-27";247;0;2;1;0;0;0
"685";1220;10;"1985-08-16";"1985-11-29";105;0;9;1;0;0;0
"686";1221;10;"1985-10-10";"1985-12-05";56;0;25;1;0;0;0
"687";1222;10;"1985-10-07";"1985-12-05";59;1;9;1;0;0;0
"688";1223;10;"1985-10-17";"1985-12-05";49;1;9;1;0;0;0
"689";1224;10;"1985-09-07";"1985-11-14";68;1;2;1;0;0;0
"690";1225;10;"1986-03-06";"1986-06-19";105;0;25;1;0;0;0
"691";1226;10;"1985-09-27";"1985-11-14";48;1;3;1;0;0;0
"692";1227;10;"1985-10-04";"1985-12-05";62;1;3;1;0;0;0
"693";1228;10;"1985-10-04";"1985-11-14";41;0;3;1;0;0;0
"694";1229;10;"1985-10-07";"1985-12-05";59;1;3;1;0;0;0
"695";1230;10;"1985-09-07";"1985-12-05";89;1;9;1;0;0;0
"696";1231;10;"1985-09-07";"1985-11-14";68;0;3;1;0;0;0
"697";1232;10;"1985-11-22";"1985-12-12";20;NA;9;0;0;0;0
"698";1233;10;"1985-11-04";"1985-12-12";38;NA;9;0;0;0;0
"699";1236;10;"1985-09-10";"1985-10-03";23;0;2;1;0;0;0
"700";1240;10;"1985-11-27";"1986-01-30";64;0;1;1;0;0;0
"701";1242;10;"1985-12-05";"1986-03-20";105;1;1;1;0;0;0
"702";1243;10;"1985-10-01";"1985-12-06";66;NA;2;0;0;0;0
"703";1244;10;"1985-10-02";"1985-11-07";36;0;9;1;0;0;0
"704";1245;10;"1985-11-12";"1985-12-06";24;0;2;1;0;0;0
"705";1253;10;"1985-12-05";"1986-04-17";133;1;2;1;0;0;0
"706";1254;10;"1985-12-05";"1986-05-15";161;0;1;1;0;0;0
"707";1255;10;"1986-01-10";"1986-04-24";104;0;1;1;0;0;0
"708";1256;10;"1986-02-20";"1986-12-04";287;1;14;1;0;0;0
"709";1257;10;"1985-12-18";"1986-04-17";120;0;3;1;0;0;0
"710";1260;10;"1986-01-10";"1986-05-16";126;1;3;1;0;0;0
"711";1261;10;"1985-11-12";"1985-12-13";31;1;2;1;0;0;0
"712";1270;10;"1984-06-19";"1984-06-28";9;1;9;1;0;0;0
"713";1271;10;"1985-12-10";"1986-03-20";100;1;3;1;0;0;0
"714";1277;10;"1986-01-31";"1986-03-21";49;1;2;1;0;0;0
"715";1278;10;"1986-02-27";"1986-11-13";259;1;16;1;0;0;0
"716";1279;10;"1986-03-20";"1986-06-27";99;1;7;1;0;0;0
"717";1280;10;"1986-02-27";"1986-06-26";119;0;2;1;0;0;0
"718";1281;10;"1986-02-12";"1986-05-15";92;1;4;1;0;0;0
"719";1282;10;"1986-01-10";"1986-10-23";286;1;1;1;0;0;0
"720";1283;10;"1986-01-31";"1986-03-20";48;0;2;1;0;0;0
"721";1284;10;"1986-02-26";"1986-12-10";287;0;3;1;0;0;0
"722";1285;10;"1986-04-10";"1986-11-13";217;0;21;1;0;0;0
"723";1286;10;"1986-04-17";"1986-12-04";231;1;14;1;0;0;0
"724";1289;10;"1986-01-28";"1986-12-05";311;NA;14;0;0;0;0
"725";1291;10;"1986-01-29";"1986-06-27";149;1;16;1;0;0;0
"726";1297;10;"1986-04-10";"1986-11-07";211;0;16;1;0;0;0
"727";1298;10;"1986-04-17";"1986-10-16";182;0;16;1;0;0;0
"728";1299;10;"1986-03-17";"1986-05-15";59;0;2;1;0;0;0
"729";1301;10;"1986-02-18";"1986-03-21";31;0;2;1;0;0;0
"730";1309;10;"1986-04-23";"1986-11-13";204;0;3;1;0;0;0
"731";1310;10;"1986-04-25";"1986-11-13";202;1;3;1;0;0;0
"732";1311;10;"1986-04-25";"1986-11-13";202;1;3;1;0;0;0
"733";1312;10;"1986-04-29";"1986-10-23";177;0;3;1;0;0;0
"734";1313;10;"1986-05-07";"1986-10-23";169;0;4;1;0;0;0
"735";1314;10;"1986-05-07";"1986-10-16";162;0;25;1;0;0;0
"736";1315;10;"1986-05-22";"1986-11-06";168;1;14;1;0;0;0
"737";1316;10;"1986-05-22";"1986-12-05";197;0;21;1;0;0;0
"738";1317;10;"1986-04-25";"1986-06-26";62;0;25;1;0;0;0
"739";1318;10;"1986-05-07";"1986-06-27";51;1;14;1;0;0;0
"740";1321;10;"1986-05-07";"1986-11-13";190;1;16;1;0;0;0
