"docno";"lp";"date_bt_ini";"date_com_as";"date_com_ini";"date_com_out";"date_bt_out";"phase1";"phase2";"phase3";"phase4";"phase_total";"completed";"zustimmg";"election";"leadingcom";"compresOpp";"potLoss_emp";"potGain_emp";"potLoss_same90";"potGain_same90";"potLoss_past";"potGain_past";"potLoss_com";"potGain_com"
"14/7094";14;"2001-10-10";"2001-11-08";"2001-11-14";"2001-11-14";"2001-11-15";29;6;0;1;36;1;1;0;10;1;0;0;0;0;0;0;0;0
"14/7095";14;"2001-10-10";"2001-10-18";"2001-11-07";"2001-11-13";"2001-11-15";8;20;6;2;36;1;1;0;3;0;0;0;0;0;0;0;0;0
"14/7096";14;"2001-10-10";"2001-11-08";"2002-04-24";"2002-04-24";"2002-04-25";29;167;0;1;197;1;1;0;3;0;0;0;0;0;0;0;0;0
"14/7097";14;"2001-10-10";"2001-10-18";"2001-11-07";"2001-11-07";"2001-11-09";8;20;0;2;30;1;1;0;3;0;0;0;0;0;0;0;0;0
"14/7144";14;"2001-10-16";"2001-10-19";"2001-11-07";"2001-12-12";"2001-12-14";3;19;35;2;59;1;0;0;2;0;0;0;0;0;0;0;0;0
"14/7153";14;"2001-10-17";"2001-11-08";"2001-11-14";"2001-11-14";"2001-11-15";22;6;0;1;29;1;1;0;6;1;0;0;0;0;0;0;0;0
"14/7176";14;"2001-10-17";"2002-01-24";"2002-03-20";"2002-03-20";"2002-03-21";99;55;0;1;155;1;1;0;13;1;0;0;0;0;0;0;0;0
"14/7207";14;"2001-10-22";"2001-11-08";"2001-11-14";"2001-11-26";"2001-11-29";17;6;12;3;38;1;1;0;13;1;0;0;0;0;0;0;0;0
"14/7223";14;"2001-10-24";"2001-11-08";"2001-11-27";"2001-11-28";"2001-11-30";15;19;1;2;37;1;1;0;3;0;0;0;0;0;0;0;0;0
"14/7228";14;"2001-10-24";"2001-12-13";"2002-03-13";"2002-04-24";"2002-04-26";50;90;42;2;184;0;0;0;13;1;0;0;0;0;0;0;0;0
"14/7229";14;"2001-10-24";"2001-11-15";"2001-12-12";"2002-01-30";"2002-02-01";22;27;49;2;100;1;0;0;12;1;0;0;0;0;0;0;0;0
"14/7238";14;"2001-10-29";"2001-11-08";"2001-11-14";"2001-11-27";"2001-11-29";10;6;13;2;31;1;0;0;12;1;0;0;0;0;0;0;0;0
"14/7245";14;"2001-10-30";"2001-11-15";"2002-02-20";"2002-02-28";"2002-03-14";16;97;8;14;135;1;0;0;1;1;0;0;0;0;0;0;0;0
"14/7246";14;"2001-10-30";"2001-11-08";"2001-11-14";"2001-11-14";"2001-11-15";9;6;0;1;16;1;1;0;2;0;0;0;0;0;0;0;0;0
"14/7252";14;"2001-11-01";"2001-11-08";"2001-11-14";"2001-12-12";"2001-12-14";7;6;28;2;43;1;1;0;6;1;0;0;0;0;0;0;0;0
"14/7254";14;"2001-11-01";"2001-11-07";"2001-11-07";"2001-11-07";"2001-11-09";6;0;0;2;8;1;0;0;6;1;0;0;0;0;0;0;0;0
"14/7259";14;"2001-11-01";"2001-11-08";"2001-11-14";"2001-11-27";"2001-11-29";7;6;13;2;28;1;0;0;12;1;0;0;0;0;0;0;0;0
"14/7260";14;"2001-11-01";"2001-12-13";"2002-01-23";"2002-01-30";"2002-01-31";42;41;7;1;91;1;1;0;3;0;0;0;0;0;0;0;0;0
"14/7261";14;"2001-11-01";"2001-11-29";"2001-12-12";"2001-12-12";"2001-12-14";28;13;0;2;43;1;0;0;7;0;0;0;0;0;0;0;0;0
"14/7283";14;"2001-11-06";"2001-11-08";"2001-11-14";"2001-11-14";"2001-11-15";2;6;0;1;9;1;1;0;13;1;0;0;0;0;0;0;0;0
"14/7284";14;"2001-11-06";"2001-11-09";"2001-11-14";"2001-11-27";"2001-11-29";3;5;13;2;23;1;0;0;2;0;0;0;0;0;0;0;0;0
"14/7384";14;"2001-11-08";"2001-11-29";"2001-12-12";"2002-01-16";"2002-01-24";21;13;35;8;77;1;1;0;6;1;0;0;0;0;0;0;0;0
"14/7419";14;"2001-11-12";"2001-11-29";"2002-02-20";"2002-02-26";"2002-03-14";17;83;6;16;122;1;0;0;1;1;0;0;0;0;0;0;0;0
"14/7436";14;"2001-11-13";"2001-11-15";"2001-12-12";"2002-01-29";"2002-01-31";2;27;48;2;79;1;1;0;13;1;0;0;0;0;0;0;0;0
"14/745";14;"1999-04-12";"1999-04-22";"1999-06-11";"1999-06-29";"1999-07-01";10;50;18;2;80;1;1;0;13;1;0;0;0;0;0;0;0;0
"14/748";14;"1999-04-12";"1999-04-22";"1999-06-16";"1999-06-16";"1999-06-17";10;55;0;1;66;1;1;0;5;0;0;0;0;0;0;0;0;0
"14/7485";14;"2001-11-14";"2001-12-13";"2002-01-23";"2002-03-20";"2002-03-22";29;41;56;2;128;1;1;0;10;0;0;0;0;0;0;0;0;0
"14/7544";14;"2001-11-21";"2001-12-13";"2002-01-23";"2002-01-30";"2002-01-31";22;41;7;1;71;1;0;0;12;1;0;0;0;0;0;0;0;0
"14/7545";14;"2001-11-21";"2002-01-24";"2002-06-05";"2002-06-12";"2002-06-13";64;132;7;1;204;1;1;0;3;0;0;0;0;0;0;0;0;0
"14/7556";14;"2001-11-22";"2001-11-29";"2001-12-12";"2002-01-23";"2002-01-31";7;13;42;8;70;1;0;0;5;0;0;0;0;0;0;0;0;0
