"docno";"lp";"date_bt_ini";"date_com_as";"date_com_ini";"date_com_out";"date_bt_out";"phase1";"phase2";"phase3";"phase4";"phase_total";"completed";"zustimmg";"election";"leadingcom";"compresOpp";"potLoss_emp";"potGain_emp";"potLoss_same90";"potGain_same90";"potLoss_past";"potGain_past";"potLoss_com";"potGain_com"
"14/980";14;"1999-05-04";"1999-06-17";"1999-06-23";"1999-06-29";"1999-09-09";44;6;6;72;128;1;0;0;13;1;0;0;0;0;0;0;0;0
"14/9894";14;"2002-08-26";"2002-08-29";"2002-09-09";"2002-09-10";"2002-09-12";3;11;1;2;17;1;1;1;5;0;0;0;0;0;0;0;0;0
"15/1053";15;"2003-05-27";"2003-06-26";"2003-09-24";"2003-09-24";"2003-09-25";30;90;0;1;121;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/1054";15;"2003-05-27";"2003-06-26";"2003-07-02";"2003-07-02";"2003-09-25";30;6;0;85;121;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/1055";15;"2003-05-27";"2003-06-26";"2003-07-02";"2003-07-02";"2003-09-25";30;6;0;85;121;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/1056";15;"2003-05-27";"2003-06-26";"2003-09-24";"2003-09-24";"2003-09-25";30;90;0;1;121;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/1057";15;"2003-05-27";"2003-06-26";"2003-07-02";"2003-07-02";"2003-09-25";30;6;0;85;121;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/1058";15;"2003-05-27";"2003-06-05";"2003-09-24";"2003-09-24";"2003-09-25";9;111;0;1;121;1;0;0;1;1;0;0;0;0;0;0;0;0
"15/1059";15;"2003-05-27";"2003-06-05";"2003-06-25";"2003-06-26";"2003-06-27";9;20;1;1;31;1;0;0;3;0;0;0;0;0;0;0;0;0
"15/1060";15;"2003-05-27";"2003-06-26";"2003-07-02";"2003-07-02";"2003-07-03";30;6;0;1;37;1;0;0;5;0;0;0;0;0;0;0;0;0
"15/1061";15;"2003-05-27";"2003-06-26";"2003-09-24";"2003-09-24";"2003-09-25";30;90;0;1;121;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/1062";15;"2003-05-27";"2003-06-18";"2003-06-25";"2003-06-30";"2003-07-03";22;7;5;3;37;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/1072";15;"2003-05-28";"2003-06-18";"2003-06-25";"2003-06-30";"2003-07-03";21;7;5;3;36;1;1;0;13;1;0;0;0;0;0;0;0;0
"15/1073";15;"2003-05-28";"2003-06-18";"2003-06-25";"2003-06-30";"2003-07-03";21;7;5;3;36;1;1;0;13;1;0;0;0;0;0;0;0;0
"15/1075";15;"2003-05-28";"2003-06-26";"2003-07-02";"2003-12-10";"2003-12-12";29;6;161;2;198;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/1089";15;"2003-06-03";"2003-06-05";"2003-06-06";"2003-06-25";"2003-06-27";2;1;19;2;24;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/11";15;"2002-10-24";"2002-12-03";"2002-12-18";"2002-12-19";"2003-01-16";40;15;1;28;84;1;1;0;3;0;0;0;0;0;0;0;0;0
"15/1100";15;"2003-06-02";"2003-06-26";"2003-07-02";"2003-07-02";"2003-07-03";24;6;0;1;31;1;1;0;8;1;0;0;0;0;0;0;0;0
"15/1180";15;"2003-06-18";"2003-06-26";"2003-07-02";"2003-10-22";"2003-10-24";8;6;112;2;128;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/1181";15;"2003-06-18";"2003-06-26";"2003-07-02";"2003-07-02";"2003-07-03";8;6;0;1;15;1;0;0;5;1;0;0;0;0;0;0;0;0
"15/1186";15;"2003-06-20";"2003-06-26";"2003-07-02";"2003-07-02";"2003-07-04";6;6;0;2;14;1;1;0;3;0;0;0;0;0;0;0;0;0
"15/1187";15;"2003-06-23";"2003-06-26";"2003-07-02";"2003-10-15";"2003-10-23";3;6;105;8;122;1;0;0;8;1;0;0;0;0;0;0;0;0
"15/1188";15;"2003-06-23";"2003-06-26";"2003-07-02";"2003-07-03";"2003-09-09";3;6;1;68;78;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/12";15;"2002-10-24";"2002-12-03";"2002-12-18";"2002-12-23";"2003-01-30";40;15;5;38;98;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/1205";15;"2003-06-24";"2003-06-26";"2003-07-02";"2003-07-02";"2003-07-03";2;6;0;1;9;1;1;0;3;0;0;0;0;0;0;0;0;0
"15/1206";15;"2003-06-24";"2003-06-27";"2003-11-25";"2003-11-25";"2003-11-27";3;151;0;2;156;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/1222";15;"2003-06-25";"2003-06-26";"2003-07-02";"2003-07-02";"2003-07-04";1;6;0;2;9;1;0;0;6;0;0;0;0;0;0;0;0;0
"15/124";15;"2002-12-02";"2002-12-05";"2002-12-18";"2003-01-15";"2003-01-17";3;13;28;2;46;1;0;0;2;0;0;0;0;0;0;0;0;0
"15/1241";15;"2003-06-25";"2003-07-03";"2003-09-24";"2003-09-24";"2003-09-25";8;83;0;1;92;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/13";15;"2002-10-25";"2002-12-19";"2003-01-29";"2003-04-08";"2003-04-10";55;41;69;2;167;1;1;0;2;0;0;0;0;0;0;0;0;0
"15/1313";15;"2003-07-01";"2003-07-03";"2003-07-04";"2003-10-15";"2003-10-17";2;1;103;2;108;1;0;0;5;0;0;0;0;0;0;0;0;0
"15/1468";15;"2003-08-06";"2003-11-06";"2003-11-12";"2003-11-12";"2003-11-14";92;6;0;2;100;1;0;0;12;0;0;0;0;0;0;0;0;0
"15/1473";15;"2003-08-06";"2003-09-25";"2003-10-15";"2003-10-23";"2003-11-13";50;20;8;21;99;1;1;0;7;0;0;0;0;0;0;0;0;0
"15/1487";15;"2003-08-22";"2003-09-25";"2003-10-15";"2004-03-26";"2004-04-01";34;20;163;6;223;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/149";15;"2002-11-22";"2002-12-05";"2002-12-17";"2002-12-17";"2002-12-19";13;12;0;2;27;1;0;0;5;1;0;0;0;0;0;0;0;0
"15/15";15;"2002-10-25";"2002-11-14";"2002-12-18";"2003-04-09";"2003-04-11";20;34;112;2;168;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/150";15;"2002-11-29";"2002-12-05";"2003-01-16";"2003-03-03";"2003-03-20";6;42;46;17;111;1;0;0;5;1;0;0;0;0;0;0;0;0
"15/1500";15;"2003-08-15";"2003-09-12";"2003-10-15";"2003-11-21";"2003-11-28";28;33;37;7;105;1;0;0;5;1;0;0;0;0;0;0;0;0
"15/1502";15;"2003-09-08";"2003-09-09";"2003-09-12";"2003-10-15";"2003-10-17";1;3;33;2;39;1;1;0;5;1;0;0;0;0;0;0;0;0
"15/1506";15;"2003-09-02";"2003-09-25";"2003-09-26";"2003-11-10";"2003-11-13";23;1;45;3;72;1;0;0;10;0;0;0;0;0;0;0;0;0
"15/1507";15;"2003-09-02";"2003-09-25";"2003-10-15";"2003-11-03";"2003-11-06";23;20;19;3;65;1;1;0;13;1;0;0;0;0;0;0;0;0
"15/1509";15;"2003-09-02";"2003-09-09";"2003-09-11";"2003-09-24";"2003-09-26";7;2;13;2;24;1;0;0;12;0;0;0;0;0;0;0;0;0
"15/1514";15;"2003-09-05";"2003-09-09";"2003-09-12";"2003-10-15";"2003-10-17";4;3;33;2;42;1;1;0;2;0;0;0;0;0;0;0;0;0
"15/1516";15;"2003-09-05";"2003-09-11";"2003-09-24";"2003-10-15";"2003-10-17";6;13;21;2;42;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/1517";15;"2003-09-08";"2003-09-09";"2003-09-11";"2003-10-15";"2003-10-17";1;2;34;2;39;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/1518";15;"2003-09-08";"2003-09-09";"2003-09-11";"2003-10-14";"2003-10-17";1;2;33;3;39;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/1519";15;"2003-09-08";"2003-09-09";"2003-09-24";"2003-10-16";"2003-10-16";1;15;22;0;38;1;1;0;6;0;0;0;0;0;0;0;0;0
"15/1521";15;"2003-09-08";"2003-09-25";"2003-10-13";"2003-10-15";"2003-10-17";17;18;2;2;39;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/1522";15;"2003-09-08";"2003-09-25";"2003-10-15";"2003-10-15";"2003-10-16";17;20;0;1;38;1;0;0;1;1;0;0;0;0;0;0;0;0
"15/1552";15;"2003-09-18";"2003-09-25";"2003-10-15";"2003-10-22";"2003-10-23";7;20;7;1;35;1;1;0;13;1;0;0;0;0;0;0;0;0
"15/1553";15;"2003-09-19";"2003-09-25";"2003-09-26";"2003-11-05";"2003-11-07";6;1;40;2;49;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/16";15;"2002-10-25";"2002-12-03";"2002-12-18";"2003-01-15";"2003-01-16";39;15;28;1;83;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/1620";15;"2003-09-29";"2003-10-16";"2003-10-22";"2003-11-05";"2003-11-06";17;6;14;1;38;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/1621";15;"2003-09-29";"2003-10-23";"2003-11-05";"2003-11-05";"2003-11-07";24;13;0;2;39;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/1637";15;"2003-10-01";"2003-10-15";"2003-10-15";"2003-10-15";"2003-10-17";14;0;0;2;16;1;0;0;12;0;0;0;0;0;0;0;0;0
"15/1644";15;"2003-10-02";"2003-10-16";"2003-10-22";"2003-10-22";"2003-11-06";14;6;0;15;35;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/1645";15;"2003-10-02";"2003-10-16";"2003-10-22";"2003-10-24";"2003-11-06";14;6;2;13;35;1;1;0;6;0;0;0;0;0;0;0;0;0
"15/1646";15;"2003-10-02";"2003-10-16";"2003-10-22";"2003-11-05";"2003-11-06";14;6;14;1;35;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/1647";15;"2003-10-02";"2003-10-16";"2003-10-22";"2003-11-05";"2003-11-06";14;6;14;1;35;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/1648";15;"2003-10-02";"2003-10-23";"2003-11-05";"2003-11-05";"2003-11-06";21;13;0;1;35;1;0;0;3;0;0;0;0;0;0;0;0;0
"15/1649";15;"2003-10-02";"2003-10-16";"2003-10-22";"2003-10-24";"2003-11-06";14;6;2;13;35;1;0;0;1;1;0;0;0;0;0;0;0;0
"15/1650";15;"2003-10-02";"2003-10-23";"2003-12-10";"2003-12-10";"2004-01-15";21;48;0;36;105;1;0;0;8;1;0;0;0;0;0;0;0;0
"15/1653";15;"2003-10-02";"2003-10-16";"2003-10-22";"2003-11-12";"2003-11-13";14;6;21;1;42;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/1654";15;"2003-10-02";"2003-10-16";"2003-10-22";"2003-11-12";"2003-11-13";14;6;21;1;42;1;0;0;5;0;0;0;0;0;0;0;0;0
"15/1655";15;"2003-10-02";"2003-10-16";"2003-11-05";"2003-11-12";"2003-11-13";14;20;7;1;42;1;0;0;8;1;0;0;0;0;0;0;0;0
"15/1656";15;"2003-10-02";"2003-11-06";"2003-11-12";"2004-06-17";"2004-07-01";35;6;218;14;273;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/1657";15;"2003-10-02";"2003-11-06";"2003-11-12";"2004-06-18";"2004-07-01";35;6;219;13;273;1;0;0;1;1;0;0;0;0;0;0;0;0
"15/1662";15;"2003-10-09";"2003-10-16";"2004-04-28";"2004-04-28";"2004-04-29";7;195;0;1;203;1;0;0;5;1;0;0;0;0;0;0;0;0
"15/1663";15;"2003-10-09";"2003-10-16";"2003-10-22";"2003-11-10";"2003-11-14";7;6;19;4;36;1;0;0;6;0;0;0;0;0;0;0;0;0
"15/1666";15;"2003-10-09";"2003-10-16";"2003-10-22";"2003-10-29";"2003-11-06";7;6;7;8;28;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/1667";15;"2003-10-09";"2003-10-16";"2003-10-22";"2003-11-05";"2003-11-06";7;6;14;1;28;1;1;0;6;0;0;0;0;0;0;0;0;0
"15/1668";15;"2003-10-09";"2003-10-16";"2003-10-22";"2003-10-24";"2003-11-06";7;6;2;13;28;0;1;0;6;0;0;0;0;0;0;0;0;0
"15/1669";15;"2003-10-09";"2003-10-16";"2003-10-22";"2003-12-10";"2003-12-11";7;6;49;1;63;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/1709";15;"2003-10-15";"2004-03-11";"2004-05-26";"2004-12-01";"2004-12-03";148;76;189;2;415;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/1718";15;"2003-10-15";"2003-11-27";"2003-12-10";"2004-03-10";"2004-03-11";43;13;91;1;148;0;1;0;13;1;0;0;0;0;0;0;0;0
"15/1719";15;"2003-10-15";"2003-10-23";"2004-02-11";"2004-02-11";"2004-02-13";8;111;0;2;121;1;1;0;13;1;0;0;0;0;0;0;0;0
"15/1720";15;"2003-10-15";"2003-10-23";"2003-11-12";"2003-11-18";"2003-11-27";8;20;6;9;43;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/1780";15;"2003-10-20";"2003-10-23";"2003-11-12";"2003-11-25";"2003-11-27";3;20;13;2;38;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/1783";15;"2003-10-21";"2003-10-24";"2004-01-14";"2004-01-14";"2004-01-16";3;82;0;2;87;1;1;0;2;0;0;0;0;0;0;0;0;0
"15/1830";15;"2003-10-23";"2003-10-24";"2003-10-30";"2003-11-05";"2003-11-06";1;6;6;1;14;1;0;0;2;0;0;0;0;0;0;0;0;0
"15/1831";15;"2003-10-23";"2003-10-24";"2003-10-30";"2003-11-05";"2003-11-06";1;6;6;1;14;1;1;0;2;0;0;0;0;0;0;0;0;0
"15/1845";15;"2003-10-28";"2003-11-13";"2003-11-25";"2003-11-25";"2003-12-11";16;12;0;16;44;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/1846";15;"2003-10-28";"2003-11-13";"2003-11-25";"2003-11-25";"2003-12-11";16;12;0;16;44;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/1847";15;"2003-10-28";"2003-11-13";"2003-11-25";"2003-11-25";"2003-12-11";16;12;0;16;44;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/1848";15;"2003-10-28";"2003-11-05";"2003-11-05";"2003-11-05";"2003-11-06";8;0;0;1;9;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/1849";15;"2003-10-28";"2003-11-13";"2003-11-25";"2003-11-25";"2003-11-27";16;12;0;2;30;1;0;0;12;0;0;0;0;0;0;0;0;0
"15/1853";15;"2003-10-29";"2003-11-06";"2003-11-12";"2004-02-11";"2004-02-12";8;6;91;1;106;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/1854";15;"2003-10-29";"2003-11-13";"2003-12-10";"2003-12-11";"2004-01-15";15;27;1;35;78;1;1;0;3;0;0;0;0;0;0;0;0;0
"15/1861";15;"2003-11-03";"2003-11-06";"2003-11-12";"2003-11-12";"2003-11-14";3;6;0;2;11;1;0;0;3;0;0;0;0;0;0;0;0;0
"15/1925";15;"2003-10-30";"2003-11-06";"2003-11-12";"2003-11-12";"2003-11-25";7;6;0;13;26;1;0;0;5;1;0;0;0;0;0;0;0;0
"15/1959";15;"2003-11-10";"2003-11-13";"2003-12-19";"2003-12-19";"2004-01-15";3;36;0;27;66;1;0;0;8;0;0;0;0;0;0;0;0;0
"15/1969";15;"2003-11-11";"2003-11-27";"2003-12-10";"2003-12-10";"2003-12-11";16;13;0;1;30;1;0;0;5;0;0;0;0;0;0;0;0;0
"15/197";15;"2002-12-17";"2002-12-19";"2003-01-29";"2003-02-12";"2003-02-14";2;41;14;2;59;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/1970";15;"2003-11-11";"2003-11-27";"2003-12-10";"2003-12-10";"2003-12-11";16;13;0;1;30;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/1974";15;"2003-11-11";"2003-11-13";"2003-11-25";"2003-11-25";"2003-11-27";2;12;0;2;16;1;0;0;7;0;0;0;0;0;0;0;0;0
"15/199";15;"2002-12-17";"2002-12-19";"2003-01-29";"2003-02-11";"2003-03-13";2;41;13;30;86;1;0;0;1;1;0;0;0;0;0;0;0;0
"15/21";15;"2002-11-05";"2002-11-07";"2002-11-12";"2002-11-13";"2002-11-14";2;5;1;1;9;1;0;0;5;0;0;0;0;0;0;0;0;0
"15/2109";15;"2003-12-01";"2003-12-11";"2003-12-12";"2004-03-31";"2004-04-02";10;1;110;2;123;1;1;0;2;0;0;0;0;0;0;0;0;0
"15/2143";15;"2003-12-08";"2003-12-11";"2004-01-28";"2004-01-28";"2004-01-29";3;48;0;1;52;1;1;0;6;0;0;0;0;0;0;0;0;0
"15/2145";15;"2003-12-08";"2003-12-11";"2004-01-14";"2004-01-28";"2004-01-29";3;34;14;1;52;1;1;0;3;0;0;0;0;0;0;0;0;0
"15/2147";15;"2003-12-08";"2004-01-15";"2004-03-03";"2004-04-26";"2004-05-06";38;48;54;10;150;1;1;0;7;0;0;0;0;0;0;0;0;0
"15/2149";15;"2003-12-09";"2003-12-12";"2004-03-10";"2004-03-10";"2004-03-11";3;89;0;1;93;1;0;0;2;0;0;0;0;0;0;0;0;0
"15/2250";15;"2003-12-17";"2004-01-15";"2004-01-28";"2004-04-28";"2004-04-30";29;13;91;2;135;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/2251";15;"2003-12-17";"2004-01-29";"2004-02-11";"2004-04-28";"2004-04-29";43;13;77;1;134;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/2253";15;"2003-12-17";"2004-01-15";"2004-01-28";"2004-02-12";"2004-02-12";29;13;15;0;57;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/2254";15;"2003-12-17";"2004-01-15";"2004-01-28";"2004-01-29";"2004-02-12";29;13;1;14;57;1;1;0;13;1;0;0;0;0;0;0;0;0
"15/2255";15;"2003-12-17";"2004-01-15";"2004-01-28";"2004-01-29";"2004-02-12";29;13;1;14;57;1;1;0;13;1;0;0;0;0;0;0;0;0
"15/2284";15;"2003-12-22";"2004-01-15";"2004-01-28";"2004-01-30";"2004-02-12";24;13;2;13;52;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/2285";15;"2003-12-22";"2004-01-29";"2004-02-11";"2004-02-11";"2004-02-12";38;13;0;1;52;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/2286";15;"2003-12-22";"2004-01-15";"2004-01-28";"2004-01-30";"2004-03-04";24;13;2;34;73;1;0;0;3;0;0;0;0;0;0;0;0;0
"15/2293";15;"2003-12-22";"2004-01-15";"2004-01-28";"2004-02-11";"2004-02-12";24;13;14;1;52;1;1;0;6;0;0;0;0;0;0;0;0;0
"15/2316";15;"2004-01-09";"2004-01-15";"2004-01-28";"2004-03-10";"2004-03-12";6;13;42;2;63;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/2350";15;"2004-01-14";"2004-01-29";"2004-02-11";"2004-05-04";"2004-05-06";15;13;83;2;113;1;1;0;2;0;0;0;0;0;0;0;0;0
"15/2359";15;"2004-01-14";"2004-01-29";"2004-02-11";"2004-02-11";"2004-02-12";15;13;0;1;29;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/2361";15;"2004-01-14";"2004-01-30";"2004-04-26";"2004-06-16";"2004-06-18";16;87;51;2;156;1;1;0;3;0;0;0;0;0;0;0;0;0
"15/2378";15;"2004-01-26";"2004-01-29";"2004-02-11";"2004-03-10";"2004-03-11";3;13;28;1;45;1;0;0;12;0;0;0;0;0;0;0;0;0
"15/2410";15;"2004-01-28";"2004-02-12";"2004-03-31";"2004-03-31";"2004-04-01";15;48;0;1;64;1;1;0;7;0;0;0;0;0;0;0;0;0
"15/25";15;"2002-11-05";"2002-11-07";"2002-11-12";"2002-11-13";"2002-11-15";2;5;1;2;10;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/2520";15;"2004-02-13";"2004-03-04";"2004-03-08";"2004-03-10";"2004-03-11";20;4;2;1;27;1;0;0;6;0;0;0;0;0;0;0;0;0
"15/2536";15;"2004-02-18";"2004-03-03";"2004-03-03";"2004-03-03";"2004-03-04";14;0;0;1;15;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/2537";15;"2004-02-18";"2004-03-04";"2004-03-10";"2004-05-05";"2004-05-07";15;6;56;2;79;1;0;0;12;0;0;0;0;0;0;0;0;0
"15/2538";15;"2004-02-18";"2004-03-04";"2004-03-10";"2004-03-10";"2004-03-12";15;6;0;2;23;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/2539";15;"2004-02-18";"2004-03-04";"2004-03-08";"2004-03-31";"2004-04-02";15;4;23;2;44;1;0;0;7;0;0;0;0;0;0;0;0;0
"15/2540";15;"2004-02-18";"2004-03-04";"2004-03-10";"2004-03-10";"2004-03-12";15;6;0;2;23;1;1;0;7;0;0;0;0;0;0;0;0;0
"15/2542";15;"2004-02-18";"2004-03-04";"2004-03-10";"2004-03-23";"2004-03-25";15;6;13;2;36;1;0;0;12;0;0;0;0;0;0;0;0;0
"15/2543";15;"2004-02-18";"2004-03-04";"2004-03-10";"2004-03-10";"2004-03-11";15;6;0;1;22;1;1;0;3;0;0;0;0;0;0;0;0;0
"15/2544";15;"2004-02-18";"2004-03-04";"2004-03-24";"2004-03-24";"2004-04-01";15;20;0;8;43;1;1;0;6;0;0;0;0;0;0;0;0;0
"15/2545";15;"2004-02-18";"2004-03-04";"2004-03-10";"2004-03-11";"2004-03-25";15;6;1;14;36;1;0;0;3;0;0;0;0;0;0;0;0;0
"15/2546";15;"2004-02-18";"2004-03-04";"2004-03-31";"2004-03-31";"2004-04-01";15;27;0;1;43;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/2549";15;"2004-02-19";"2004-03-04";"2004-03-31";"2004-03-31";"2004-04-01";14;27;0;1;42;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/2553";15;"2004-02-20";"2004-03-05";"2004-03-22";"2004-03-31";"2004-04-01";14;17;9;1;41;1;1;0;6;0;0;0;0;0;0;0;0;0
"15/2563";15;"2004-02-26";"2004-03-04";"2004-03-10";"2004-04-28";"2004-04-29";7;6;49;1;63;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/2587";15;"2004-03-03";"2004-03-11";"2004-03-24";"2004-05-05";"2004-05-06";8;13;42;1;64;1;0;0;5;0;0;0;0;0;0;0;0;0
"15/2598";15;"2004-03-03";"2004-03-11";"2004-03-31";"2004-03-31";"2004-04-01";8;20;0;1;29;1;1;0;13;1;0;0;0;0;0;0;0;0
"15/2599";15;"2004-03-03";"2004-03-11";"2004-03-31";"2004-03-31";"2004-04-01";8;20;0;1;29;1;1;0;13;1;0;0;0;0;0;0;0;0
"15/26";15;"2002-11-05";"2002-11-07";"2002-11-12";"2002-11-13";"2002-11-15";2;5;1;2;10;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/27";15;"2002-11-05";"2002-11-07";"2002-11-12";"2002-11-13";"2002-11-15";2;5;1;2;10;1;1;0;2;0;0;0;0;0;0;0;0;0
"15/2700";15;"2004-03-15";"2004-03-25";"2004-04-28";"2004-05-05";"2004-05-06";10;34;7;1;52;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/2720";15;"2004-03-17";"2004-03-25";"2004-03-31";"2004-10-27";"2004-10-29";8;6;210;2;226;1;0;0;5;1;0;0;0;0;0;0;0;0
"15/2721";15;"2004-03-17";"2004-03-25";"2004-03-31";"2004-03-31";"2004-04-01";8;6;0;1;15;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/2723";15;"2004-03-17";"2004-04-29";"2004-05-26";"2004-05-26";"2004-05-27";43;27;0;1;71;1;1;0;8;1;0;0;0;0;0;0;0;0
"15/2724";15;"2004-03-17";"2004-04-01";"2004-04-28";"2004-04-28";"2004-04-29";15;27;0;1;43;1;0;0;3;0;0;0;0;0;0;0;0;0
"15/2769";15;"2004-03-24";"2004-04-01";"2004-04-28";"2004-04-30";"2004-05-06";8;27;2;6;43;1;0;0;1;1;0;0;0;0;0;0;0;0
"15/28";15;"2002-11-05";"2002-11-07";"2002-11-12";"2002-11-13";"2002-11-15";2;5;1;2;10;1;1;0;2;0;0;0;0;0;0;0;0;0
"15/2816";15;"2004-03-30";"2004-04-02";"2004-04-26";"2004-04-28";"2004-04-29";3;24;2;1;30;1;1;0;12;0;0;0;0;0;0;0;0;0
"15/2820";15;"2004-03-30";"2004-04-01";"2004-04-02";"2004-05-05";"2004-05-07";2;1;33;2;38;0;1;0;10;1;0;0;0;0;0;0;0;0
"15/287";15;"2003-01-10";"2003-01-16";"2003-01-29";"2003-02-19";"2003-02-21";6;13;21;2;42;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/2887";15;"2004-04-02";"2004-04-29";"2004-06-16";"2004-06-16";"2004-06-18";27;48;0;2;77;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/2925";15;"2004-04-19";"2004-04-29";"2004-05-05";"2004-05-05";"2004-05-06";10;6;0;1;17;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/2926";15;"2004-04-19";"2004-05-06";"2004-05-26";"2004-07-05";"2004-09-07";17;20;40;64;141;1;0;0;8;1;0;0;0;0;0;0;0;0
"15/2943";15;"2004-04-22";"2004-04-29";"2004-05-05";"2004-05-05";"2004-05-06";7;6;0;1;14;1;1;0;6;0;0;0;0;0;0;0;0;0
"15/2944";15;"2004-04-22";"2004-04-29";"2004-05-07";"2004-05-07";"2004-05-27";7;8;0;20;35;1;1;0;8;0;0;0;0;0;0;0;0;0
"15/2946";15;"2004-04-22";"2004-04-29";"2004-05-05";"2004-06-30";"2004-07-01";7;6;56;1;70;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/2947";15;"2004-04-22";"2004-05-06";"2004-05-26";"2004-05-26";"2004-05-27";14;20;0;1;35;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/2948";15;"2004-04-22";"2004-04-29";"2004-05-05";"2004-05-05";"2004-05-06";7;6;0;1;14;1;1;0;5;0;0;0;0;0;0;0;0;0
"15/2949";15;"2004-04-22";"2004-05-06";"2004-05-26";"2004-05-26";"2004-05-27";14;20;0;1;35;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/2950";15;"2004-04-22";"2004-07-01";"2004-09-22";"2004-09-27";"2004-10-21";70;83;5;24;182;1;0;0;7;0;0;0;0;0;0;0;0;0
"15/2966";15;"2004-04-27";"2004-04-30";"2004-05-05";"2004-05-26";"2004-05-28";3;5;21;2;31;1;0;0;7;0;0;0;0;0;0;0;0;0
"15/297";15;"2003-01-14";"2003-01-17";"2003-01-29";"2003-01-29";"2003-01-31";3;12;0;2;17;1;0;0;10;0;0;0;0;0;0;0;0;0
"15/2989";15;"2004-04-28";"2004-05-06";"2004-05-26";"2004-05-28";"2004-06-18";8;20;2;21;51;1;1;0;1;1;0;0;0;0;0;0;0;0
"15/3045";15;"2004-05-04";"2004-05-07";"2004-06-30";"2004-10-27";"2004-10-28";3;54;119;1;177;1;0;0;13;1;0;0;0;0;0;0;0;0
"15/3046";15;"2004-05-04";"2004-05-07";"2004-05-26";"2004-05-26";"2004-05-27";3;19;0;1;23;1;1;0;6;0;0;0;0;0;0;0;0;0
"15/3088";15;"2004-05-05";"2004-05-27";"2004-06-14";"2004-06-16";"2004-06-18";22;18;2;2;44;1;0;0;6;0;0;0;0;0;0;0;0;0
"15/3168";15;"2004-05-21";"2004-06-17";"2004-06-21";"2004-06-30";"2004-07-01";27;4;9;1;41;1;1;0;7;0;0;0;0;0;0;0;0;0
