"lp";"date_bt_ini";"date_bt_out";"phase_total";"zustimmg";"leadingcom";"completed";"nummer";"election";"potLoss_same90";"potGain_same90"
8;"1978-04-11";"1978-10-05";177;1;7;0;135;0;0;0
8;"1978-03-10";"1978-06-22";104;0;7;1;136;0;0;0
8;"1977-11-28";"1977-12-15";17;0;14;1;137;0;0;0
8;"1978-01-17";"1979-06-21";520;0;25;1;138;0;0;0
8;"1977-12-19";"1978-03-16";87;0;3;1;139;0;0;0
8;"1977-11-09";"1978-03-09";120;0;16;1;140;0;0;0
8;"1978-03-09";"1978-06-01";84;1;14;1;142;0;0;0
8;"1978-03-23";"1980-03-06";714;1;1;0;151;0;0;0
8;"1978-03-15";"1978-06-14";91;1;25;1;152;0;0;0
8;"1978-03-31";"1978-11-09";223;0;16;1;153;0;0;0
8;"1978-03-01";"1979-02-16";352;0;2;1;154;0;0;0
8;"1978-03-16";"1978-06-14";90;0;25;1;155;0;0;0
8;"1978-09-04";"1978-12-07";94;0;14;1;156;0;0;0
8;"1978-03-17";"1979-04-26";405;1;14;1;157;0;0;0
8;"1978-03-17";"1979-04-26";405;0;14;1;158;0;0;0
8;"1978-02-21";"1978-12-06";288;0;16;1;159;0;0;0
8;"1978-02-20";"1978-06-08";108;1;3;1;160;0;0;0
8;"1978-02-20";"1978-06-08";108;1;3;1;161;0;0;0
8;"1978-02-20";"1978-04-20";59;1;3;1;162;0;0;0
8;"1978-02-21";"1980-05-13";812;1;3;1;163;0;0;0
8;"1978-04-03";"1978-11-16";227;1;9;1;164;0;0;0
8;"1978-02-21";"1978-06-08";107;0;3;1;165;0;0;0
8;"1978-04-17";"1979-06-20";429;1;9;1;166;0;0;0
8;"1978-03-23";"1978-06-08";77;0;1;1;167;0;0;0
8;"1978-06-02";"1979-03-15";286;1;9;1;173;0;0;0
8;"1978-06-05";"1978-12-06";184;1;25;1;174;0;0;0
8;"1978-03-21";"1978-06-14";85;0;3;1;175;0;0;0
8;"1978-03-21";"1978-06-08";79;1;3;1;176;0;0;0
8;"1978-04-21";"1978-06-22";62;1;3;1;177;0;0;0
8;"1978-05-24";"1978-11-16";176;0;3;1;178;0;0;0
8;"1978-03-21";"1978-06-08";79;1;3;1;179;0;0;0
8;"1978-03-21";"1978-11-30";254;0;3;1;180;0;0;0
8;"1978-04-14";"1978-06-08";55;0;9;1;181;0;0;0
8;"1978-04-07";"1978-05-12";35;1;1;1;182;0;0;0
8;"1978-07-18";"1979-02-15";212;0;3;1;183;0;0;0
8;"1978-03-09";"1978-06-08";91;NA;2;0;190;0;0;0
8;"1978-04-25";"1978-11-30";219;1;3;1;191;0;0;0
8;"1978-04-25";"1978-11-30";219;1;3;1;192;0;0;0
8;"1978-04-25";"1978-10-19";177;1;3;1;193;0;0;0
8;"1978-04-25";"1978-11-09";198;0;3;1;194;0;0;0
8;"1978-04-24";"1978-06-08";45;0;2;1;195;0;0;0
8;"1978-04-24";"1978-06-08";45;0;2;1;196;0;0;0
8;"1978-05-05";"1979-05-17";377;1;9;1;197;0;0;0
8;"1978-06-12";"1979-05-10";332;0;3;1;199;0;0;0
8;"1978-08-04";"1980-05-22";657;1;2;1;200;0;0;0
8;"1978-06-13";"1978-12-13";183;0;3;1;205;0;0;0
8;"1978-05-22";"1978-06-21";30;0;9;1;206;0;0;0
8;"1978-08-23";"1979-04-26";246;1;1;1;207;0;0;0
8;"1978-06-06";"1978-11-30";177;1;3;1;208;0;0;0
8;"1978-08-01";"1979-11-08";464;1;16;1;211;0;0;0
8;"1978-09-19";"1979-05-11";234;0;25;1;212;0;0;0
8;"1978-07-07";"1979-02-08";216;1;3;1;213;0;0;0
8;"1978-07-07";"1979-02-08";216;1;3;1;214;0;0;0
8;"1978-09-07";"1979-05-31";266;0;16;1;215;0;0;0
8;"1978-05-12";"1978-06-14";33;0;9;1;216;0;0;0
8;"1978-08-29";"1980-03-20";569;1;2;0;219;0;0;0
8;"1978-10-03";"1978-12-15";73;1;9;1;220;0;0;0
8;"1978-09-27";"1980-02-28";519;1;25;1;221;0;0;0
8;"1978-07-14";"1978-11-09";118;1;3;1;222;0;0;0
8;"1978-09-05";"1980-06-12";646;0;16;0;223;0;0;0
8;"1978-05-30";"1978-06-23";24;0;14;1;224;0;0;0
8;"1978-09-01";"1978-11-30";90;1;14;1;228;0;0;0
8;"1978-09-21";"1978-10-20";29;NA;9;0;229;0;0;0
8;"1978-06-22";"1979-05-10";322;1;2;1;235;0;0;0
8;"1978-09-22";"1978-10-20";28;0;2;1;241;0;0;0
8;"1978-09-22";"1978-10-20";28;1;2;1;242;0;0;0
8;"1978-09-22";"1978-10-20";28;1;9;1;243;0;0;0
8;"1978-09-08";"1979-01-26";140;0;9;1;245;0;0;0
8;"1978-12-13";"1980-02-13";427;0;16;1;246;0;0;0
8;"1979-01-15";"1979-10-11";269;1;2;1;247;0;0;0
8;"1978-10-24";"1979-03-08";135;1;3;1;248;0;0;0
8;"1978-11-27";"1979-09-20";297;0;9;1;249;0;0;0
8;"1978-12-08";"1979-03-29";111;0;1;1;250;0;0;0
8;"1979-02-22";"1979-11-29";280;0;14;1;251;0;0;0
8;"1978-10-24";"1979-03-08";135;1;3;1;252;0;0;0
8;"1978-10-24";"1979-03-08";135;1;3;1;253;0;0;0
8;"1978-10-24";"1979-03-08";135;1;3;1;254;0;0;0
8;"1978-10-24";"1979-02-15";114;1;3;1;255;0;0;0
8;"1978-10-24";"1979-03-08";135;1;3;1;256;0;0;0
8;"1978-10-24";"1979-03-15";142;0;3;1;257;0;0;0
8;"1979-03-05";"1979-10-18";227;1;3;1;258;0;0;0
8;"1978-10-25";"1979-06-21";239;0;25;1;259;0;0;0
8;"1978-10-27";"1980-02-13";474;NA;3;0;262;0;0;0
8;"1978-09-14";"1978-10-20";36;NA;2;0;263;0;0;0
8;"1978-09-14";"1978-10-20";36;NA;9;0;264;0;0;0
8;"1978-09-14";"1978-10-20";36;NA;2;0;265;0;0;0
8;"1978-09-27";"1978-12-13";77;1;16;1;266;0;0;0
8;"1978-11-14";"1979-03-08";114;1;3;1;268;0;0;0
8;"1977-06-28";"1978-10-05";464;1;16;1;270;0;0;0
8;"1979-01-04";"1979-03-29";84;1;2;1;271;0;0;0
8;"1979-01-26";"1979-11-29";307;1;14;1;272;0;0;0
8;"1979-01-26";"1979-11-29";307;0;14;1;273;0;0;0
8;"1978-12-29";"1979-05-31";153;1;1;1;274;0;0;0
8;"1978-12-07";"1979-05-31";175;1;3;1;275;0;0;0
8;"1979-01-26";"1979-11-29";307;1;14;0;276;0;0;0
8;"1978-10-05";"1978-12-15";71;1;9;1;278;0;0;0
8;"1979-03-30";"1979-11-29";244;1;2;1;279;0;0;0
8;"1979-02-14";"1980-05-23";464;1;2;0;282;0;0;0
8;"1979-02-02";"1980-06-26";510;1;2;0;283;0;0;0
8;"1979-03-13";"1979-11-29";261;1;7;1;284;0;0;0
8;"1978-12-22";"1979-03-29";97;1;3;1;285;0;0;0
8;"1978-12-22";"1979-03-08";76;1;3;1;286;0;0;0
8;"1978-12-22";"1979-03-29";97;1;3;1;287;0;0;0
8;"1978-12-22";"1979-03-08";76;1;3;1;288;0;0;0
8;"1979-02-23";"1979-10-18";237;1;3;1;289;0;0;0
8;"1979-01-15";"1979-05-18";123;1;4;1;290;0;0;0
8;"1979-01-26";"1980-05-13";473;0;16;1;291;0;0;0
8;"1979-09-07";"1979-12-14";98;0;9;1;299;0;0;0
8;"1979-09-28";"1980-05-13";228;0;16;0;304;0;0;0
8;"1979-03-07";"1979-06-01";86;0;2;1;305;0;0;0
8;"1979-03-05";"1979-05-10";66;0;2;1;306;0;0;0
8;"1979-04-26";"1979-11-28";216;1;4;1;307;0;0;0
8;"1979-06-06";"1980-06-12";372;1;14;1;308;0;0;0
8;"1979-02-20";"1979-05-10";79;0;3;1;309;0;0;0
8;"1979-05-28";"1979-10-18";143;1;3;1;310;0;0;0
8;"1979-02-22";"1980-02-13";356;0;3;1;311;0;0;0
8;"1979-02-20";"1979-05-31";100;1;3;1;312;0;0;0
8;"1979-03-12";"1979-06-21";101;1;3;1;315;0;0;0
8;"1979-03-19";"1979-05-31";73;0;14;1;318;0;0;0
8;"1979-07-26";"1979-11-15";112;0;2;1;319;0;0;0
8;"1979-05-11";"1980-06-12";398;0;2;1;320;0;0;0
8;"1979-09-21";"1980-05-22";244;0;14;1;321;0;0;0
8;"1979-03-14";"1979-07-03";111;0;16;1;329;0;0;0
8;"1979-03-15";"1979-05-10";56;1;9;1;331;0;0;0
8;"1979-03-29";"1979-05-31";63;0;14;1;335;0;0;0
8;"1979-05-17";"1979-06-21";35;1;14;1;336;0;0;0
8;"1979-07-17";"1979-11-15";121;0;16;1;337;0;0;0
8;"1979-09-04";"1980-02-28";177;1;1;1;338;0;0;0
8;"1979-05-18";"1979-10-11";146;1;3;1;339;0;0;0
8;"1979-05-18";"1979-10-11";146;1;3;1;340;0;0;0
8;"1979-09-19";"1980-06-25";280;1;16;1;343;0;0;0
8;"1979-06-22";"1979-10-18";118;0;3;1;344;0;0;0
8;"1979-07-17";"1980-02-28";226;0;16;1;345;0;0;0
8;"1979-07-12";"1979-11-29";140;NA;9;0;346;0;0;0
8;"1978-09-07";"1979-05-31";266;0;3;1;349;0;0;0
8;"1979-08-10";"1980-02-13";187;0;3;1;352;0;0;0
8;"1979-08-22";"1979-11-08";78;1;2;1;353;0;0;0
8;"1979-08-14";"1979-11-15";93;0;9;1;354;0;0;0
8;"1979-07-12";"1980-01-17";189;1;2;1;357;0;0;0
8;"1979-11-27";"1980-06-12";198;1;14;1;358;0;0;0
8;"1979-07-12";"1979-11-15";126;1;25;1;359;0;0;0
8;"1979-07-12";"1979-10-18";98;1;3;1;360;0;0;0
8;"1979-07-12";"1979-10-11";91;1;3;1;361;0;0;0
8;"1979-08-29";"1980-07-02";308;0;3;1;362;0;0;0
8;"1979-08-22";"1980-01-17";148;1;14;1;363;0;0;0
8;"1979-09-13";"1980-05-22";252;0;2;0;364;0;0;0
